CompanyId,Return,Beta,Return_mean,Return_median,Return_min,Return_max,Beta_mean,Beta_median,Beta_min,Beta_max,Debt_to_total_assets_ratio_mean,Debt_to_total_assets_ratio_median,Debt_to_total_assets_ratio_min,Debt_to_total_assets_ratio_max,Operating_profit_to_sale_mean,Operating_profit_to_sale_median,Operating_profit_to_sale_min,Operating_profit_to_sale_max,Fixed_asset_turnover_mean,Fixed_asset_turnover_median,Fixed_asset_turnover_min,Fixed_asset_turnover_max,Return_from_market_mean,Return_from_market_median,Return_from_market_min,Return_from_market_max,Current_assets_ratio_mean,Current_assets_ratio_median,Current_assets_ratio_min,Current_assets_ratio_max,Working_capital_return_mean,Working_capital_return_median,Working_capital_return_min,Working_capital_return_max,Longterm_debt_to_equity_ratio_mean,Longterm_debt_to_equity_ratio_median,Longterm_debt_to_equity_ratio_min,Longterm_debt_to_equity_ratio_max,Return_ratio_without_risk_mean,Return_ratio_without_risk_median,Return_ratio_without_risk_min,Return_ratio_without_risk_max,Profit_margin_growth_rate_mean,Profit_margin_growth_rate_median,Profit_margin_growth_rate_min,Profit_margin_growth_rate_max,Stock_market_value_mean,Stock_market_value_median,Stock_market_value_min,Stock_market_value_max,Net_profit_to_sale_mean,Net_profit_to_sale_median,Net_profit_to_sale_min,Net_profit_to_sale_max,Net_profit_to_Gross_profit_mean,Net_profit_to_Gross_profit_median,Net_profit_to_Gross_profit_min,Net_profit_to_Gross_profit_max,Current_ratio_mean,Current_ratio_median,Current_ratio_min,Current_ratio_max,Net_working_capital_mean,Net_working_capital_median,Net_working_capital_min,Net_working_capital_max,Operating_assets_Ratio_mean,Operating_assets_Ratio_median,Operating_assets_Ratio_min,Operating_assets_Ratio_max,Total_asset_turnover_mean,Total_asset_turnover_median,Total_asset_turnover_min,Total_asset_turnover_max,DPS_mean,DPS_median,DPS_min,DPS_max,EPS_growth_mean,EPS_growth_median,EPS_growth_min,EPS_growth_max,Liquidity_ratios_mean,Liquidity_ratios_median,Liquidity_ratios_min,Liquidity_ratios_max,ROA_mean,ROA_median,ROA_min,ROA_max,Quick_Ratio_mean,Quick_Ratio_median,Quick_Ratio_min,Quick_Ratio_max,Average_payment_period_mean,Average_payment_period_median,Average_payment_period_min,Average_payment_period_max,ROE_mean,ROE_median,ROE_min,ROE_max,EPS_mean,EPS_median,EPS_min,EPS_max,Total_income_growth_mean,Total_income_growth_median,Total_income_growth_min,Total_income_growth_max,P_to_E_mean,P_to_E_median,P_to_E_min,P_to_E_max,ROI_mean,ROI_median,ROI_min,ROI_max,Capital_mean,Capital_median,Capital_min,Capital_max,P_to_B_mean,P_to_B_median,P_to_B_min,P_to_B_max,P_to_S_mean,P_to_S_median,P_to_S_min,P_to_S_max,Cash_to_total_assets_ratio_mean,Cash_to_total_assets_ratio_median,Cash_to_total_assets_ratio_min,Cash_to_total_assets_ratio_max,Debt_to_equity_ratio_mean,Debt_to_equity_ratio_median,Debt_to_equity_ratio_min,Debt_to_equity_ratio_max,Equity_Ratio_mean,Equity_Ratio_median,Equity_Ratio_min,Equity_Ratio_max,DuPont_Ratio_mean,DuPont_Ratio_median,DuPont_Ratio_min,DuPont_Ratio_max,Gross_profit_margin_mean,Gross_profit_margin_median,Gross_profit_margin_min,Gross_profit_margin_max,Operating_profit_margin_mean,Operating_profit_margin_median,Operating_profit_margin_min,Operating_profit_margin_max,Net_profit_margin_mean,Net_profit_margin_median,Net_profit_margin_min,Net_profit_margin_max,Sales_growth_rate_mean,Sales_growth_rate_median,Sales_growth_rate_min,Sales_growth_rate_max,Current_debt_to_total_debt_Ratio_mean,Current_debt_to_total_debt_Ratio_median,Current_debt_to_total_debt_Ratio_min,Current_debt_to_total_debt_Ratio_max,Cost_to_sales_ratio_mean,Cost_to_sales_ratio_median,Cost_to_sales_ratio_min,Cost_to_sales_ratio_max,Sale_to_current_assets_mean,Sale_to_current_assets_median,Sale_to_current_assets_min,Sale_to_current_assets_max,Operating_cash_flow_to_sales_mean,Operating_cash_flow_to_sales_median,Operating_cash_flow_to_sales_min,Operating_cash_flow_to_sales_max,Cash_flow_returns_to_sales_mean,Cash_flow_returns_to_sales_median,Cash_flow_returns_to_sales_min,Cash_flow_returns_to_sales_max,Profit_margin_before_interest_and_taxes_mean,Profit_margin_before_interest_and_taxes_median,Profit_margin_before_interest_and_taxes_min,Profit_margin_before_interest_and_taxes_max,Net_return_on_working_capital_mean,Net_return_on_working_capital_median,Net_return_on_working_capital_min,Net_return_on_working_capital_max,r_dicho,b_dicho
1,64.01717305,0.464935495,94.55568323822224,50.83333336,-22.74971515,379.5640322,0.7092951231111111,0.796259029,-0.260216022,1.575183805,0.6519999999999999,0.6499999999999999,0.39,0.92,106974.1,101600.5,37246.0,227929.0,6.438,2.87,0.0,16.02,62.173011149900006,37.56484692,-20.86124983,187.0833336,0.381,0.355,0.23,0.53,301.149,-4.64,-200.56,1892.19,5.315,2.78,0.98,16.62,18.7,20.0,15.0,22.0,0.073,-0.035,-0.31,0.85,2224000000000.0,870500000000.0,205000000000.0,9830000000000.0,121843.1,113821.5,37808.0,244972.0,143926.8,117069.5,44200.0,351834.0,0.935,0.875,0.3,1.88,-91509.0,-21278.5,-527413.0,60668.0,16.34,0.0,0.0,98.86,1.7970000000000002,1.48,1.07,3.25,2018.0,1615.0,250.0,4500.0,0.017,0.105,-0.75,0.6,0.677,0.69,0.0,1.53,24.002,14.75,7.89,60.21,0.417,0.3399999999999999,0.11,0.92,53.905,45.15,0.0,172.21,59.90100000000001,51.535,33.68,106.45,2260.6,2418.5,508.0,4541.0,0.376,0.265,-0.42,1.78,12.349,6.795,2.72,40.13,35.729,27.29,21.22,68.06,145250.0,75000.0,12500.0,300000.0,6.184,4.3,2.08,17.12,1.567,0.97,0.65,5.74,4.134,3.725,0.22,12.22,2.432,1.925,0.45,6.91,3.432,2.925,1.45,7.91,36.961,34.18,12.64,68.85,20.183,20.115,13.97,25.07,16.091,16.79,11.71,20.02,15.22,14.975,11.95,18.58,21.454,29.69,-48.24,79.57,75.94399999999999,86.34,28.24,97.75,3.093,3.2,1.7,4.58,4.024,3.185,2.27,7.3,12.358,6.075,3.31,33.55,14.627,14.835,5.45,24.01,17.107,17.27,13.42,19.53,123.612,-21.265,-410.11,1081.53,1,1
2,195.1593137,0.480005216,67.87173894875001,27.68351333,-29.03225809,335.1378616,1.2183268925,1.0803578825,0.838465381,1.901439382,0.0,0.0,0.0,0.0,169724.11111111112,36866.0,15614.0,1000913.0,0.6922222222222223,0.71,0.0,1.26,59.57635370211111,28.2857682,-20.86124983,187.0833336,0.5022222222222221,0.47,0.36,0.69,226.41444444444448,121.81,-40.5,948.9,1.3022222222222224,1.35,0.58,1.69,19.11111111111111,20.0,15.0,22.0,0.3066666666666666,0.43,-0.77,1.15,2551111111111.112,418000000000.0,183000000000.0,15300000000000.0,179377.11111111112,35726.0,7277.0,1082375.0,192822.44444444444,46836.0,33590.0,1067076.0,1.3988888888888888,1.11,0.78,3.65,130321.22222222222,13193.0,-41258.0,992101.0,22.096666666666668,0.0,0.0,99.58,0.7577777777777778,0.63,0.48,1.3,707.2222222222222,245.0,50.0,3800.0,0.8288888888888889,0.4,-0.83,3.6,1.0155555555555555,1.09,0.0,1.88,22.64555555555556,11.56,4.16,76.08,1.1944444444444444,1.05,0.63,3.04,249.9322222222222,279.25,0.0,526.73,38.693333333333335,24.2,9.7,106.93,1165.5555555555557,367.0,48.0,5850.0,0.9344444444444444,0.62,-0.76,3.56,13.574444444444444,11.74,3.35,34.42,27.486666666666665,17.28,7.13,65.74,124444.44444444444,150000.0,60000.0,185000.0,3.774444444444444,2.2,1.34,10.15,2.922222222222222,1.55,1.1,8.25,14.946666666666667,7.27,1.99,56.93,0.9544444444444444,0.96,0.3,1.56,1.9544444444444444,1.96,1.3,2.56,53.05111111111111,50.94,39.07,76.85,30.082222222222224,25.91,14.94,57.88,23.92888888888889,20.08,6.94,54.25,26.91333333333333,16.87,3.24,72.87,35.14888888888889,26.71,1.54,117.99,87.79111111111109,90.81,69.57,94.96,6.19,6.49,3.63,7.99,1.488888888888889,1.57,0.96,1.84,42.46777777777778,45.91,9.98,66.69,25.686666666666667,16.24,3.88,52.14,31.24333333333333,23.31,7.41,80.36,199.2844444444444,121.81,-187.52,948.9,1,1
3,261.3593384,1.314109904,56.914081144444445,33.84615381,-37.28661279,208.045977,1.363910648888889,1.301283592,0.527850226,2.169493931,0.443,0.435,0.31,0.62,30747382.0,13099764.5,5417592.0,165039651.0,1.095,1.12,0.0,2.37,62.173011149900006,37.56484692,-20.86124983,187.0833336,0.435,0.425,0.25,0.66,619.367,207.405,-48.87,4118.82,0.931,0.815,0.47,1.76,18.7,20.0,15.0,22.0,0.0399999999999999,0.04,-0.33,0.7,237040000000000.0,70050000000000.0,35200000000000.0,1340000000000000.0,30709989.7,12894212.5,5973090.0,157290672.0,30993333.5,12906030.5,5553190.0,165976088.0,1.901,1.4249999999999998,0.79,3.79,19425332.9,5287530.5,-4030457.0,134169935.0,18.838,0.0,0.0,94.92,0.7030000000000001,0.78,0.26,1.24,898.0,700.0,200.0,2130.0,0.345,0.35,-0.57,1.49,0.5549999999999999,0.175,0.0,3.03,36.479,34.34,10.38,74.46,1.048,0.815,0.31,2.45,132.29600000000002,117.605,0.0,362.85,50.69500000000001,50.885000000000005,21.63,91.06,1085.7,918.0,271.0,2834.0,0.608,0.485,-0.58,2.15,6.463999999999999,6.05,4.18,8.56,39.429,40.785,18.07,67.73,25291500.0,22657500.0,6000000.0,55500000.0,2.8600000000000003,2.755,1.37,5.78,3.307,3.395,2.01,5.14,13.705000000000002,10.825,1.92,52.44,0.554,0.415,0.2,1.54,1.554,1.415,1.2,2.54,67.45200000000001,70.56,39.37,83.62,48.516000000000005,48.665,30.24,72.21,48.081,48.19,28.54,71.7,49.637,44.5,36.42,71.51,53.172,49.43,-38.97,166.56,94.45,97.01,77.61,99.68,0.659,0.5700000000000001,0.36,1.1,1.5159999999999998,1.515,0.82,1.98,66.16499999999999,54.42,21.26,134.6,43.396,46.44,20.02,59.24,52.16,54.255,36.42,71.58,234.56,195.34,-178.04,836.93,1,-1
4,177.3262034,1.397710496,39.72899436571429,32.77511957,-31.98804187,151.4705882,1.495806352285714,1.562188671,0.225925426,2.871668379,0.5362499999999999,0.56,0.44,0.6,15114796.0,11384699.0,4475747.0,42203494.0,1.00125,1.04,0.0,1.93,34.960457662375006,26.4825837,-20.86124983,107.7122458,0.51,0.495,0.38,0.67,14934.41875,355.045,-46.19,113722.91,1.35875,1.375,0.95,1.75,18.375,20.0,15.0,22.0,0.005,0.035,-0.29,0.26,103162500000000.0,80900000000000.0,39500000000000.0,287000000000000.0,15285763.875,11749673.0,5990192.0,43039306.0,16632375.875,13019335.0,5907423.0,45390538.0,1.38,1.22,0.88,2.04,4712287.25,4278860.0,-3866350.0,11496447.0,0.0,0.0,0.0,0.0,0.605,0.645,0.28,0.88,870.0,815.0,220.0,1900.0,0.1674999999999999,-0.13,-0.65,1.17,0.87,0.825,0.0,1.69,30.4875,31.15,9.61,58.02,1.09375,1.005,0.74,1.55,147.36875,105.445,0.0,351.58,47.915,50.785,19.51,81.22,962.0,864.0,332.0,2234.0,0.475,0.575,-0.36,1.17,6.47875,6.95,3.92,7.55,37.6175,38.91,15.96,64.12,20000000.0,21000000.0,6000000.0,36000000.0,2.8275,2.645,1.71,4.36,3.2425,3.1500000000000004,1.95,4.32,7.450000000000001,2.64,0.47,26.66,0.7,0.6799999999999999,0.27,1.13,1.7,1.68,1.27,2.13,60.185,59.61,47.03,78.87,50.40625,50.785,33.91,70.0,45.99250000000001,46.39,25.69,66.89,47.2575,44.42,33.06,66.09,42.9125,46.325,-26.99,113.99,93.06375,92.82,84.94,99.32,5.4025,4.83,3.43,8.2,1.23875,1.285,0.68,1.59,62.44,58.315,29.58,103.31,32.245,30.235,17.24,60.12,52.9575,51.43,39.99,71.82,91.56625,248.66,-1675.15,1393.38,1,-1
6,72.1633627,0.676663884,129.237529908875,55.888886080000006,-47.70354907,480.3695147,1.209331418,1.2299504105,0.218798989,2.36290477,0.0,0.0,0.0,0.0,242342.5555555556,104488.0,-9629.0,798914.0,4.705555555555556,4.11,0.0,12.59,59.57635370211111,28.2857682,-20.86124983,187.0833336,0.9277777777777776,0.94,0.89,0.96,41.513333333333335,32.0,7.72,101.13,0.3,0.23,0.16,0.92,19.11111111111111,20.0,15.0,22.0,0.2655555555555555,0.29,-0.33,0.71,12291111111111.111,1440000000000.0,654000000000.0,63200000000000.0,278916.8888888889,143499.0,35284.0,972597.0,309632.5555555556,154263.0,56994.0,905153.0,10.328888888888889,11.07,6.78,13.27,909925.8888888888,470976.0,148913.0,2290869.0,22.19,0.0,0.0,99.87,0.6955555555555556,0.59,0.04,1.52,309.77777777777777,260.0,50.0,700.0,0.8866666666666665,-0.15,-0.9,6.31,3.25,2.6,-4.11,10.49,32.77333333333334,25.98,5.16,74.38,7.566666666666667,8.28,3.96,10.39,6297083.437777778,142.96,0.0,56671920.0,37.918888888888894,32.75,7.47,84.88,1417.0,800.0,118.0,5085.0,2.2555555555555555,0.89,-0.85,11.63,61.31444444444445,9.65,5.19,440.68,30.043333333333333,26.62,8.64,58.4,376875.0,202500.0,50625.0,1215000.0,7.133333333333334,3.38,1.22,27.42,63.78999999999999,4.29,2.08,516.05,1.7655555555555555,1.01,0.34,7.49,0.2244444444444444,0.13,0.1,0.84,1.2244444444444444,1.13,1.1,1.84,83.50333333333333,88.23,54.49,90.97,62.120000000000005,63.99,39.77,85.13,37.56222222222222,37.9,-18.36,64.59,54.32888888888889,48.98,24.87,117.97,127.70999999999998,50.19,-90.92,659.47,79.07888888888888,75.87,72.65,92.87,24.55555555555556,15.12,8.59,103.48,0.65,0.62,0.04,1.24,163.32333333333335,54.43,9.63,1081.73,22.961111111111112,5.51,-10.94,175.07,54.32888888888889,48.98,24.87,117.97,41.35,32.07,7.17,101.1,1,1
9,615.1868461,1.153468382,92.26504547,39.163479195,-44.73052092,336.2728785,0.6573074403333333,0.660844711,0.266519604,1.189551537,0.0,0.0,0.0,0.0,152723.0,40277.0,-10197.0,625128.0,0.8485714285714285,0.86,0.0,2.59,63.17253667,46.84392564,-20.86124983,187.0833336,0.5685714285714285,0.55,0.5,0.73,211.19285714285712,201.06,-83.97,542.23,1.3114285714285714,1.39,0.74,1.53,18.857142857142858,20.0,15.0,22.0,4.288571428571428,1.42,-0.75,17.89,2253142857142.857,677000000000.0,416000000000.0,10600000000000.0,166800.7142857143,58501.0,32558.0,615247.0,184733.57142857145,66262.0,28194.0,668350.0,1.64,1.37,1.17,2.58,128256.85714285714,40889.0,25976.0,433523.0,14.264285714285714,0.0,0.0,99.85,0.6628571428571428,0.52,0.4,1.09,615.0,400.0,75.0,1380.0,2.2785714285714285,-0.28,-4.95,16.17,0.8300000000000001,0.86,0.0,2.49,27.244285714285716,16.43,7.55,64.04,1.2142857142857142,0.86,0.7,2.35,418.01571428571424,166.78,0.0,1814.82,47.07714285714285,34.47,16.49,89.13,1491.428571428571,1437.0,237.0,3039.0,2.4,0.14,-4.91,16.13,12.364285714285716,9.56,5.65,27.03,31.33857142857143,21.75,9.63,67.85,133728.57142857142,101200.0,25300.0,202400.0,4.861428571428571,3.74,1.91,12.41,4.63,4.63,2.04,10.52,2.525714285714286,2.78,0.43,4.05,0.8614285714285713,1.03,0.37,1.22,1.861428571428572,2.03,1.37,2.22,55.62571428571429,49.38,45.0,73.25,39.82,42.71,13.78,66.03,27.358571428571427,28.39,-4.99,61.76,37.86142857142857,40.48,15.92,60.78,72.71142857142857,41.53,-10.49,235.02,84.59,84.49,81.29,89.24,12.527142857142858,12.67,5.37,19.1,1.0942857142857143,1.02,0.75,1.45,39.72571428571429,31.49,15.67,72.29,36.20857142857143,33.61,12.23,63.01,47.52285714285714,51.4,23.86,70.02,326.0985714285715,207.77,175.09,896.82,1,-1
10,375.824791,1.190833118,49.16282679875,51.254680015,-15.92920354,137.9637617,1.308982628375,1.2884983065,0.853890198,2.081036953,0.0,0.0,0.0,0.0,913645.2222222222,317507.0,69599.0,5155491.0,3.716666666666667,3.05,0.0,8.39,59.57635370211111,28.2857682,-20.86124983,187.0833336,0.7466666666666667,0.74,0.64,0.91,85.08222222222223,92.72,33.67,119.95,0.5533333333333333,0.53,0.19,1.07,19.11111111111111,20.0,15.0,22.0,0.3233333333333333,0.16,-0.33,1.59,19946666666666.668,2240000000000.0,1560000000000.0,134000000000000.0,2550819.6666666665,425663.0,147353.0,13473570.0,951807.4444444444,391975.0,126221.0,4949219.0,5.762222222222222,4.61,2.43,13.46,3019390.6666666665,522135.0,279337.0,13548492.0,21.371111111111112,0.0,0.0,97.42,0.7444444444444446,0.87,0.27,1.03,628.5555555555555,650.0,75.0,1300.0,0.5677777777777778,0.26,-0.81,2.83,2.282222222222222,2.44,0.0,3.91,45.77777777777778,44.88,13.82,79.07,4.133333333333334,2.92,1.3,11.23,161.78222222222223,100.81,0.0,507.6,54.5,51.45,17.65,85.76,1932.6666666666667,1584.0,294.0,6666.0,1.3211111111111111,0.58,-0.53,6.66,7.1677777777777765,5.44,4.22,11.83,43.08555555555555,41.43,17.93,58.92,1511111.111111111,500000.0,200000.0,10000000.0,3.023333333333333,2.55,2.01,5.67,5.586666666666667,2.88,2.01,18.18,15.684444444444445,9.63,3.08,29.94,0.21,0.19,0.07,0.36,1.21,1.19,1.07,1.36,83.09666666666666,84.12,73.63,93.4,42.44666666666667,44.66,17.54,67.05,36.10222222222222,36.91,9.67,69.84,86.68444444444444,48.49,20.48,294.48,52.00333333333333,33.54,-16.26,226.08,96.6322222222222,98.23,91.85,99.67,9.732222222222225,8.54,6.69,14.98,0.9944444444444444,1.14,0.22,1.49,49.37555555555556,38.95,23.28,135.48,31.366666666666667,32.2,-4.06,46.89,87.60666666666665,48.61,20.92,296.39,85.64888888888888,92.56,33.67,119.95,1,-1
11,574.6099288,0.932402602,46.704154411,7.142857143,-38.74092011,171.7105262,0.3269737393333333,0.244167906,-0.336192334,1.072945646,0.0,0.0,0.0,0.0,37314.25,27070.0,14327.0,80790.0,0.955,1.14,0.0,1.54,54.81084422725,17.943286649999997,-3.726529991,187.0833336,0.5775,0.625,0.39,0.67,81.42750000000001,78.02000000000001,51.36,118.31,0.7025,0.665,0.35,1.13,17.5,17.5,15.0,20.0,1.1075000000000002,-0.1649999999999999,-0.31,5.07,2537302000000.0,625000000000.0,89208000000.0,8810000000000.0,48359.25,37425.0,10895.0,107692.0,65693.75,45780.5,30990.0,140224.0,1.895,1.815,1.35,2.6,75414.75,60891.5,21538.0,158338.0,23.9075,0.0,0.0,95.63,0.74,0.74,0.59,0.89,129.25,53.5,10.0,400.0,1.87,1.35,0.33,4.45,1.155,1.21,0.0,2.2,17.255000000000003,18.625,4.23,27.54,1.5475,1.47,1.01,2.24,149.1175,164.27499999999998,0.0,267.92,25.950000000000003,30.585,6.2,36.43,397.5,429.5,67.0,664.0,1.8675,1.35,0.33,4.44,36.385000000000005,34.165,5.73,71.48,21.225,24.855,5.75,29.44,143875.0,162000.0,31500.0,220000.0,8.375,3.175,1.68,25.47,8.965,3.83,1.06,27.14,12.52,6.87,1.78,34.56,0.5275,0.43,0.34,0.91,1.5275,1.43,1.34,1.91,66.6375,69.87,52.35,74.46,33.364999999999995,33.885,22.5,43.19,19.245,21.345,9.41,24.88,22.7325,25.305,7.15,33.17,28.65,20.695,9.6,63.61,90.63,90.895,89.29,91.44,14.125,13.04,12.11,18.31,1.365,1.3199999999999998,1.13,1.69,70.36749999999999,68.92,37.28,106.35,15.435,14.43,3.42,29.46,26.6675,30.58,9.46,36.05,84.73500000000001,84.01,56.06,114.86,1,1
14,-20.61781464,0.194947826,537.7371747,537.7371747,537.7371747,537.7371747,1.061846217,1.061846217,1.061846217,1.061846217,0.0,0.0,0.0,0.0,63319.0,63319.0,6525.0,120113.0,0.185,0.185,0.02,0.35,171.0232251,171.0232251,154.9631166,187.0833336,0.8200000000000001,0.8200000000000001,0.65,0.99,89.945,89.945,20.29,159.6,0.18,0.18,0.16,0.2,20.0,20.0,20.0,20.0,4088.99,4088.99,-1.0,8178.98,7015000000000.0,7015000000000.0,6070000000000.0,7960000000000.0,599867.0,599867.0,224025.0,975709.0,61556.5,61556.5,28610.0,94503.0,34.145,34.145,22.32,45.97,1134584.0,1134584.0,1120040.0,1149128.0,99.825,99.825,99.76,99.89,0.1649999999999999,0.1649999999999999,0.12,0.21,250.0,250.0,250.0,250.0,6.845000000000001,6.845000000000001,-0.94,14.63,19.385,19.385,3.57,35.2,64.49,64.49,12.48,116.5,33.645,33.645,21.9,45.39,2824.115,2824.115,78.57,5569.66,85.28,85.28,12.91,157.65,2575.5,2575.5,273.0,4878.0,6.915,6.915,-0.77,14.6,17.65,17.65,8.16,27.14,49.94,49.94,12.74,87.14,819175.0,819175.0,819175.0,819175.0,4.025,4.025,3.44,4.61,39.76,39.76,15.84,63.68,77.24000000000001,77.24000000000001,75.43,79.05,0.04,0.04,0.03,0.05,1.04,1.04,1.03,1.05,96.24,96.24,95.62,96.86,23.77,23.77,22.88,24.66,17.48,17.48,3.62,31.34,417.16,417.16,57.81,776.51,105.725,105.725,5.0,206.45,77.195,77.195,72.28,82.11,17.15,17.15,9.31,24.99,0.235,0.235,0.11,0.36,186.855,186.855,159.94,213.77,30.125,30.125,19.13,41.12,426.305,426.305,61.18,791.43,89.64999999999999,89.64999999999999,20.79,158.51,-1,1
15,416.0030485,0.321690057,485.72585841582105,5.405405409,-3.773584897,2657.790275,7.001787728,0.162060415,-0.110060376,58.19189775,0.0,0.0,0.0,0.0,20523.3,10987.0,2620.0,93854.0,1.6250000000000004,1.73,0.0,4.05,62.173011149900006,37.56484692,-20.86124983,187.0833336,0.807,0.805,0.74,0.92,51.415000000000006,19.09,5.88,171.44,0.5970000000000001,0.375,0.17,1.57,18.7,20.0,15.0,22.0,3.129,0.0,-0.76,17.44,2551895000000.0,197000000000.0,56950000000.0,20100000000000.0,119759.0,13995.5,2320.0,914258.0,38110.3,26820.5,15832.0,123877.0,8.885,8.95,2.47,22.13,176472.6,74432.0,64266.0,988866.0,19.909,0.0,0.0,99.85,0.7369999999999999,0.725,0.31,0.98,313.6,225.0,36.0,1000.0,3.066,0.13,-0.76,22.64,2.4290000000000003,1.5,0.0,8.71,28.751,10.15,3.74,91.55,5.746,4.3,1.1,18.16,133.98999999999998,158.575,0.0,285.33,36.17,14.88,4.66,100.53,602.9,279.5,46.0,2612.0,4.317,0.13,-0.76,22.5,23.31,19.880000000000003,0.75,76.96,24.662,12.115,4.4,69.16,110000.0,50000.0,50000.0,350000.0,3.741,2.175,0.43,14.53,11.589000000000002,1.95,0.58,65.18,10.134,3.485,1.07,43.84,0.316,0.28,0.06,0.77,1.316,1.28,1.06,1.77,77.5,77.905,56.4,94.25,29.058,27.345,21.93,40.15,12.995,10.535,3.41,27.12,56.306,12.82,3.21,295.08,23.365,10.67,-25.56,180.04,79.92500000000001,81.995,50.13,93.55,10.913,10.74,4.94,19.55,0.9249999999999998,1.0,0.36,1.33,83.89000000000001,51.35,38.95,317.66,6.228,11.705,-67.27,56.41,60.508,18.375,3.51,299.79,52.872,19.025,3.59,192.02,1,1
27,22.99578055,0.691314773,11.160931033333336,16.55172412,-22.24744607,39.17851505,0.371105089,0.418494654,0.051489279,0.643331334,0.0,0.0,0.0,0.0,250730.75,252618.5,29823.0,467863.0,5.825,5.205,0.0,12.89,45.9002745625,48.37505114,-20.86124983,107.7122458,0.7,0.705,0.61,0.78,-0.6525000000000004,-1.505,-9.38,9.78,6.5225,6.949999999999999,2.7,9.49,19.25,20.0,15.0,22.0,-0.5624999999999999,-0.56,-2.25,1.12,1218250000000.0,921500000000.0,600000000000.0,2430000000000.0,60706.0,48159.0,19965.0,126541.0,669546.75,542989.5,228373.0,1363835.0,0.9225,0.895,0.86,1.04,-183525.25,-159786.0,-447242.0,32713.0,0.0,0.0,0.0,0.0,1.8675,2.02,1.33,2.1,36.75,19.5,9.0,99.0,-0.1274999999999999,-0.565,-2.52,3.14,0.5975,0.78,0.0,0.83,2.6975,2.4850000000000003,1.74,4.08,0.4024999999999999,0.41,0.36,0.43,49.6825,55.695,0.0,87.34,17.5375,13.53,7.81,35.28,186.25,154.0,91.0,346.0,-0.145,-0.565,-2.51,3.06,22.3725,21.185,16.92,30.2,3.7975,3.785,2.09,5.53,479532.0,177545.0,177545.0,1385493.0,2.93,2.6,1.45,5.07,0.2775,0.29,0.19,0.34,7.0675,7.365,3.0,10.54,6.065,6.15,2.7,9.26,7.065,7.15,3.7,10.26,16.245,14.095,9.74,27.05,14.66,14.94,9.57,19.19,5.487500000000001,6.26,1.25,8.18,1.35,1.31,0.84,1.94,24.380000000000003,25.765,15.04,30.95,94.1375,94.2,92.71,95.44,9.745,8.985,8.01,13.0,2.4975,2.64,1.88,2.83,9.205,6.525,4.28,19.49,1.7924999999999998,-0.0849999999999999,-1.95,9.29,6.3225,6.67,3.38,8.57,-20.465,-20.195,-27.97,-13.5,-1,1
28,44.08333341,0.212256305,119.47543667555556,35.58394174,14.33296584,524.7966154,0.2633290937777778,0.252503888,0.007064719,0.819148277,0.0,0.0,0.0,0.0,243857.0,146924.5,75429.0,770241.0,4.618,5.145,0.0,10.76,62.173011149900006,37.56484692,-20.86124983,187.0833336,0.7660000000000001,0.79,0.65,0.83,1844.66,281.775,44.04,14009.46,3.572,3.52,2.23,5.39,18.7,20.0,15.0,22.0,0.019,-0.075,-0.43,0.54,4736900000000.0,899500000000.0,211000000000.0,23500000000000.0,187924.9,109192.0,46701.0,560845.0,425416.9,282134.5,135480.0,1269724.0,1.16,1.09,0.99,1.45,116675.9,40783.5,-16568.0,325934.0,19.808,0.0,0.0,99.15,2.883,2.93,2.2,3.45,721.8,700.0,200.0,1160.0,0.21,0.215,-0.69,1.56,0.7929999999999999,0.975,0.0,1.23,13.806,14.91,7.94,17.99,0.7249999999999999,0.685,0.51,1.01,38.332,36.96,0.0,93.78,43.82600000000001,46.685,26.4,57.52,1067.7,997.5,537.0,1792.0,0.371,0.3,-0.35,1.56,13.918,8.675,2.84,41.98,25.786,27.115,15.77,32.74,271814.9,142000.0,84000.0,835820.0,5.116,3.425,1.21,14.94,0.6439999999999999,0.4,0.15,1.79,4.241,3.2,1.98,10.52,2.182,2.09,1.64,2.94,3.182,3.09,2.64,3.94,32.012,32.465,25.35,37.85,11.536,12.265,8.8,13.67,6.3340000000000005,6.165,4.82,7.75,4.821000000000001,4.715,2.87,6.44,33.347,23.77,-0.4,103.91,94.372,95.02,91.45,96.89,5.562,5.865,3.64,7.62,3.611,3.675,2.53,4.77,5.140000000000001,4.795,2.46,8.09,6.095,6.285,1.22,11.15,6.867999999999999,6.904999999999999,5.11,8.64,417.26200000000006,272.6,44.04,2035.48,1,1
